Set Size,Quicksort (DC),Bubble Sort (BF)
1000,0.00137639,0.030354977
2000,0.002944708,0.125950098
3000,0.005090952,0.278459072
4000,0.006916285,0.512601137
5000,0.010056496,0.802646399
6000,0.012741804,1.189979315
7000,0.01274538,1.591644526
8000,0.015035391,2.134202719
9000,0.017142773,2.647657871
10000,0.019253969,3.403159857
15000,0.03070879,7.51219058
20000,0.041740179,13.91132164
30000,0.059370995,30.85233974
40000,0.089807749,56.22572041
50000,0.114099979,85.78660989
60000,0.140250444,138.9139469
70000,0.161241531,195.8198261
80000,0.206978321,257.8941531
90000,0.236214161,308.0473208
100000,0.235172987,367.9426591
